trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-45.85455650302137,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-97.71789327645021,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-54.74698818036116,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-163.74396620974287,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-38.316756649022174,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-73.64203374250297,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-106.39930639839697,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-1.3579441844912892,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-84.97077480219143,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,16,-99.14596087107749,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-70.2469517232097,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-70.13215610169777,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-106.31847966917533,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,12,-40.88968819775854,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,22,10.309673367494327,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,13,-45.153170077618995,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,15,-36.59329498017167,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-25.814248887546427,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,9,4.774107877280063,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,-11.46848873351018,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,14,16.110482880995104,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-96.03379624917572,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,8,19.228056550094735,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,3.357785588350737,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,7.490696215921561,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,3,-95.54061750032724,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",20,0,-76.89328818854655,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,10.852675142896423,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,25.762842847057556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-138.4273114136596,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 4}",0
