trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.006007875, 'e': 1.0}",20,0,-91.65350296870808,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.006007875, 'e': 0.9940101361932906}",20,0,-76.7110755622496,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.006007875, 'e': 0.9880561508550041}",25,0,-98.52043418824456,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.006007875, 'e': 0.9821378290780011}",20,0,-69.34222116561666,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.006007875, 'e': 0.9762549572424066}",25,0,-125.35855512906815,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.006007875, 'e': 0.9704073230078997}",25,0,-66.3364467242887,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.006007875, 'e': 0.9645947153060489}",30,0,-152.14479383825594,"{0: 17, 1: 7, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.006007875, 'e': 0.9588169243326939}",25,0,-9.285642636653908,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.006007875, 'e': 0.9530737415403732}",20,11,-6.235538824489672,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.006007875, 'e': 0.9473649596307954}",25,0,-120.51759226123505,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.006007875, 'e': 0.9416903725473581}",25,0,-205.72646910961868,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 4}",0
12,False,"{'a': 0.006007875, 'e': 0.93604977546771}",20,0,-79.19971712556928,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.006007875, 'e': 0.9304429647963575}",25,0,-35.45891650193942,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.006007875, 'e': 0.9248697381573163}",30,0,-177.3916592173252,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.006007875, 'e': 0.919329894386807}",20,0,-26.676489448262906,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.006007875, 'e': 0.9138232335259935}",25,0,-129.64761202172645,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.006007875, 'e': 0.908349556813766}",25,0,-113.06035182631773,"{0: 16, 1: 4, 2: 1, 3: 3, 4: 1}",0
18,False,"{'a': 0.006007875, 'e': 0.9029086666795667}",30,0,-199.02523077410137,"{0: 18, 1: 5, 2: 3, 3: 0, 4: 4}",0
19,False,"{'a': 0.006007875, 'e': 0.8975003667362584}",20,0,-136.4713631331434,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.006007875, 'e': 0.8921244617730365}",20,0,-29.67753493335408,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.006007875, 'e': 0.886780757748382}",25,0,-169.10059421676445,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
22,False,"{'a': 0.006007875, 'e': 0.8814690617830587}",30,0,-4.645647584247968,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.006007875, 'e': 0.8761891821531502}",25,0,-68.04802821454221,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.006007875, 'e': 0.8709409282831407}",30,0,-89.75220276910497,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
25,False,"{'a': 0.006007875, 'e': 0.8657241107390357}",20,0,-119.03032515858015,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.006007875, 'e': 0.8605385412215243}",20,0,-39.58287210984203,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.006007875, 'e': 0.8553840325591829}",20,0,-147.59002636099237,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.006007875, 'e': 0.8502603987017195}",20,0,-144.51501486763024,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
29,False,"{'a': 0.006007875, 'e': 0.8451674547132577}",20,0,-69.1733205632004,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.006007875, 'e': 0.8401050167656621}",20,0,-38.01328056388899,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
