trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.003041558, 'e': 1.0}",30,0,-244.75613588365553,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
2,False,"{'a': 0.003041558, 'e': 0.9999953744660323}",20,0,-109.85651871520494,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.003041558, 'e': 0.9999814979069201}",25,0,-87.69699023915754,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.003041558, 'e': 0.9999583704510366}",20,10,-79.06796843989427,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.003041558, 'e': 0.9999259923123354}",20,0,-83.79567351632699,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
6,False,"{'a': 0.003041558, 'e': 0.9998843637903488}",30,0,-151.78843840765157,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.003041558, 'e': 0.9998334852701852}",20,0,-139.56525314246727,"{0: 6, 1: 4, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.003041558, 'e': 0.9997733572225251}",20,6,-126.38833959902574,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 2}",1
9,False,"{'a': 0.003041558, 'e': 0.9997039802036173}",25,0,-112.07266274267826,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.003041558, 'e': 0.9996253548552733}",25,0,-52.69975861913051,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.003041558, 'e': 0.9995374819048614}",20,0,-63.61177282766812,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.003041558, 'e': 0.9994403621653002}",30,0,-247.40419949298044,"{0: 14, 1: 3, 2: 7, 3: 3, 4: 3}",0
13,False,"{'a': 0.003041558, 'e': 0.9993339965350513}",30,0,-182.34237011649662,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
14,False,"{'a': 0.003041558, 'e': 0.9992183859981101}",30,0,-286.2637235160117,"{0: 11, 1: 8, 2: 6, 3: 0, 4: 5}",0
15,False,"{'a': 0.003041558, 'e': 0.9990935316239977}",20,0,-20.088032951494693,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.003041558, 'e': 0.9989594345677503}",20,0,-12.220781222397957,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.003041558, 'e': 0.998816096069909}",20,0,-99.50778969853216,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
18,False,"{'a': 0.003041558, 'e': 0.9986635174565077}",20,0,-147.29529541935517,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.003041558, 'e': 0.9985017001390618}",35,0,-267.4139341442459,"{0: 18, 1: 5, 2: 6, 3: 2, 4: 4}",0
20,False,"{'a': 0.003041558, 'e': 0.9983306456145542}",20,0,-101.76686316849027,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
21,False,"{'a': 0.003041558, 'e': 0.998150355465422}",30,0,-253.79810995287937,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
22,False,"{'a': 0.003041558, 'e': 0.9979608313595414}",20,0,-90.15356656269658,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
23,False,"{'a': 0.003041558, 'e': 0.997762075050213}",25,0,-47.91121031659816,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.003041558, 'e': 0.9975540883761449}",20,0,-45.00563168940089,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.003041558, 'e': 0.9973368732614358}",25,0,-106.63713920541224,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
26,False,"{'a': 0.003041558, 'e': 0.9971104317155576}",20,0,-187.01595931209422,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
27,False,"{'a': 0.003041558, 'e': 0.9968747658333365}",30,3,-91.31201647345304,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 0}",1
28,False,"{'a': 0.003041558, 'e': 0.9966298777949334}",20,0,-78.87925970753047,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
29,False,"{'a': 0.003041558, 'e': 0.9963757698658242}",30,3,-101.50447261486757,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 1}",1
30,False,"{'a': 0.003041558, 'e': 0.9961124443967788}",20,0,-60.47315250299008,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
31,False,"{'a': 0.003041558, 'e': 0.9958399038238388}",20,0,-107.62771815818891,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
32,False,"{'a': 0.003041558, 'e': 0.9955581506682958}",25,0,-172.27745824280333,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
33,False,"{'a': 0.003041558, 'e': 0.9952671875366671}",20,0,-160.90106953318485,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
34,False,"{'a': 0.003041558, 'e': 0.9949670171206725}",30,0,-124.22650220466652,"{0: 22, 1: 0, 2: 3, 3: 4, 4: 1}",0
35,False,"{'a': 0.003041558, 'e': 0.994657642197209}",25,8,-17.603185549932284,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.003041558, 'e': 0.994339065628325}",20,0,-97.13624802622448,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.003041558, 'e': 0.9940112903611938}",20,0,-95.83863886137586,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
38,False,"{'a': 0.003041558, 'e': 0.9936743194280869}",20,0,-127.97480956219846,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
39,False,"{'a': 0.003041558, 'e': 0.9933281559463453}",25,0,-218.0999231764639,"{0: 12, 1: 1, 2: 6, 3: 4, 4: 2}",0
40,False,"{'a': 0.003041558, 'e': 0.9929728031183507}",20,0,-114.393181256687,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
41,False,"{'a': 0.003041558, 'e': 0.9926082642314964}",30,0,-172.48674321275735,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
42,False,"{'a': 0.003041558, 'e': 0.9922345426581562}",20,0,-110.6545311742577,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.003041558, 'e': 0.9918516418556541}",25,3,-89.83137682230802,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 1}",1
44,False,"{'a': 0.003041558, 'e': 0.9914595653662313}",20,0,-51.70332130054531,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.003041558, 'e': 0.9910583168170138}",20,0,-78.31564818212331,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.003041558, 'e': 0.9906478999199795}",20,0,-100.58002185795216,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
47,False,"{'a': 0.003041558, 'e': 0.9902283184719228}",20,9,-48.35140948773225,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.003041558, 'e': 0.9897995763544204}",30,0,-82.90732475086281,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
49,False,"{'a': 0.003041558, 'e': 0.9893616775337944}",25,0,-122.75314574857468,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
50,False,"{'a': 0.003041558, 'e': 0.9889146260610769}",25,0,-115.25586517324966,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
51,False,"{'a': 0.003041558, 'e': 0.9884584260719713}",25,0,-145.6628558988511,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
52,False,"{'a': 0.003041558, 'e': 0.9879930817868148}",35,0,-176.513221935665,"{0: 17, 1: 5, 2: 11, 3: 1, 4: 1}",0
53,False,"{'a': 0.003041558, 'e': 0.9875185975105387}",20,12,-22.450806294827277,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.003041558, 'e': 0.9870349776326295}",20,0,-88.82520308431063,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
55,False,"{'a': 0.003041558, 'e': 0.9865422266270876}",20,0,-87.35101554703414,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.003041558, 'e': 0.9860403490523858}",20,0,-114.37045669064439,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.003041558, 'e': 0.9855293495514278}",20,0,-21.790957200977708,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
