trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.006007875, 'e': 1.0}",20,0,-123.47373565829358,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.006007875, 'e': 0.9940101361932906}",25,0,-84.3701828321723,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.006007875, 'e': 0.9880561508550041}",30,1,-191.0824504635872,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 3}",1
4,False,"{'a': 0.006007875, 'e': 0.9821378290780011}",25,0,-221.54733318715253,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
5,False,"{'a': 0.006007875, 'e': 0.9762549572424066}",30,4,-127.14610340263329,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 1}",1
6,False,"{'a': 0.006007875, 'e': 0.9704073230078997}",35,0,-248.34978033491785,"{0: 17, 1: 4, 2: 9, 3: 2, 4: 3}",0
7,False,"{'a': 0.006007875, 'e': 0.9645947153060489}",30,0,-99.86538362742914,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.006007875, 'e': 0.9588169243326939}",20,0,-163.53599718108842,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.006007875, 'e': 0.9530737415403732}",25,0,-129.44677160362457,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.006007875, 'e': 0.9473649596307954}",20,0,-140.73630747142892,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.006007875, 'e': 0.9416903725473581}",25,11,-58.09209528709204,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.006007875, 'e': 0.93604977546771}",30,9,-96.40988440121308,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.006007875, 'e': 0.9304429647963575}",20,0,-55.51302536387203,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.006007875, 'e': 0.9248697381573163}",35,0,-180.34807789361685,"{0: 24, 1: 3, 2: 3, 3: 2, 4: 3}",0
15,False,"{'a': 0.006007875, 'e': 0.919329894386807}",25,0,-101.91045667942028,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.006007875, 'e': 0.9138232335259935}",30,1,-118.03584420168859,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 2}",1
17,False,"{'a': 0.006007875, 'e': 0.908349556813766}",30,21,9.09606132258573,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.006007875, 'e': 0.9029086666795667}",25,0,-88.14562519549519,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.006007875, 'e': 0.8975003667362584}",25,0,-103.37201038619536,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.006007875, 'e': 0.8921244617730365}",20,11,-14.706975005117103,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.006007875, 'e': 0.886780757748382}",30,0,-23.706269177334466,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.006007875, 'e': 0.8814690617830587}",25,0,-129.8961098552531,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.006007875, 'e': 0.8761891821531502}",20,0,-74.03167135646602,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
24,False,"{'a': 0.006007875, 'e': 0.8709409282831407}",30,3,-149.58472298011597,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 2}",1
25,False,"{'a': 0.006007875, 'e': 0.8657241107390357}",25,20,7.710355200718155,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.006007875, 'e': 0.8605385412215243}",20,0,-110.576411084101,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.006007875, 'e': 0.8553840325591829}",20,0,-101.73236841238244,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.006007875, 'e': 0.8502603987017195}",20,0,-49.286595989629035,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.006007875, 'e': 0.8451674547132577}",30,0,-193.7353321179074,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
30,False,"{'a': 0.006007875, 'e': 0.8401050167656621}",20,0,-100.12820631153457,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.006007875, 'e': 0.8350729021319024}",20,0,-63.122514889953464,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
32,False,"{'a': 0.006007875, 'e': 0.8300709291794588}",25,1,-50.8198369969874,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.006007875, 'e': 0.8250989173637651}",20,0,-55.36959505495318,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
34,False,"{'a': 0.006007875, 'e': 0.8201566872216928}",30,0,-45.4439334408033,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
35,False,"{'a': 0.006007875, 'e': 0.8152440603650728}",25,12,-19.611716186774718,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.006007875, 'e': 0.8103608594742573}",25,12,-1.3642587964333144,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.006007875, 'e': 0.8055069082917184}",30,0,-135.96766771881457,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.006007875, 'e': 0.8006820316156875}",20,12,-19.76944731340631,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.006007875, 'e': 0.79588605529383}",25,0,-56.461531934368004,"{0: 17, 1: 5, 2: 1, 3: 2, 4: 0}",0
40,False,"{'a': 0.006007875, 'e': 0.7911188062169608}",25,0,-95.39950593912162,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.006007875, 'e': 0.7863801123127947}",20,0,-44.26532024455237,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
42,False,"{'a': 0.006007875, 'e': 0.7816698025397363}",35,20,-34.754843437344796,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
43,False,"{'a': 0.006007875, 'e': 0.7769877068807057}",20,0,-57.09272863603945,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.006007875, 'e': 0.7723336563370029}",25,0,-50.34893972443221,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.006007875, 'e': 0.7677074829222064}",20,0,-48.76483521992752,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
46,False,"{'a': 0.006007875, 'e': 0.7631090196561106}",20,0,-80.68216268210132,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.006007875, 'e': 0.758538100558699}",25,18,-28.90183142115142,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.006007875, 'e': 0.7539945606441523}",20,7,-2.011071429293403,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.006007875, 'e': 0.7494782359148942}",30,0,-126.24299858597516,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
50,False,"{'a': 0.006007875, 'e': 0.7449889633556711}",20,0,-35.47159625691728,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.006007875, 'e': 0.740526580927669}",20,0,-76.15548493181043,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.006007875, 'e': 0.736090927562664}",25,0,-101.9196331416174,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.006007875, 'e': 0.7316818431572093}",25,18,10.676160541588319,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.006007875, 'e': 0.7272991685668555}",25,0,-119.62526580271596,"{0: 13, 1: 7, 2: 2, 3: 2, 4: 1}",0
55,False,"{'a': 0.006007875, 'e': 0.722942745600407}",20,8,-1.1098748657564665,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.006007875, 'e': 0.7186124170142121}",20,0,-73.29825104359882,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
57,False,"{'a': 0.006007875, 'e': 0.7143080265064866}",35,7,-120.34675107351605,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 1}",1
58,False,"{'a': 0.006007875, 'e': 0.7100294187116734}",30,15,-46.85051394293339,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.006007875, 'e': 0.7057764391948333}",20,0,-34.71072121952871,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
60,False,"{'a': 0.006007875, 'e': 0.701548934446072}",25,0,-38.379468867371315,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
61,False,"{'a': 0.006007875, 'e': 0.697346751874998}",20,0,-9.093900880926801,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.006007875, 'e': 0.6931697398052155}",25,0,-30.625718280433333,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.006007875, 'e': 0.68901774746885}",25,0,-51.23666910226575,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.006007875, 'e': 0.684890625001106}",20,0,-24.943500228484773,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.006007875, 'e': 0.6807882234348572}",25,3,-30.31395057306606,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
