trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.998}",20,0,-88.47761078071906,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.996}",20,0,-81.93036383023895,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.994}",20,0,-51.67735279729276,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.992}",20,0,-169.70147913010462,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.99}",20,0,-87.68642858370679,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.988}",25,0,-73.06645693194758,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.986}",25,0,-20.504834393735447,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.984}",25,0,-70.97952254739559,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.002, 'e': 0.982}",25,0,-164.34487631724045,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.98}",20,2,-96.55875255824456,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.002, 'e': 0.978}",20,0,-74.24282343053382,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.976}",20,0,-105.51610051476293,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.974}",25,0,-157.08629966603215,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.002, 'e': 0.972}",30,0,-173.29023472769669,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.97}",30,0,-242.0199041359311,"{0: 16, 1: 2, 2: 5, 3: 4, 4: 3}",0
16,False,"{'a': 0.002, 'e': 0.968}",25,0,-143.19853369866865,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.966}",25,0,-45.57558576818723,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.002, 'e': 0.964}",25,0,-58.00711854789254,"{0: 17, 1: 5, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.962}",20,0,-78.56885727392564,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.96}",30,0,-49.83057619725525,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
21,False,"{'a': 0.002, 'e': 0.958}",20,0,-163.60714262881467,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
22,False,"{'a': 0.002, 'e': 0.956}",20,0,-107.07137477528873,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.002, 'e': 0.954}",20,0,-58.46654146394894,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.002, 'e': 0.952}",20,0,-40.130362994273995,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.002, 'e': 0.95}",25,0,-84.56023504057256,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.002, 'e': 0.948}",20,0,-78.55529295113374,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.946}",20,0,-144.6724366738917,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.002, 'e': 0.944}",25,0,-60.65147035580797,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
29,False,"{'a': 0.002, 'e': 0.942}",20,0,-87.00312552142931,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
30,False,"{'a': 0.002, 'e': 0.94}",25,0,-178.34849429246552,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
31,False,"{'a': 0.002, 'e': 0.938}",35,0,-95.11083758514042,"{0: 25, 1: 4, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.9359999999999999}",20,0,-102.04474246152029,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.9339999999999999}",20,0,-75.94450397915732,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
34,False,"{'a': 0.002, 'e': 0.9319999999999999}",20,10,1.7447726954321503,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.002, 'e': 0.9299999999999999}",25,0,-169.62736203650357,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
36,False,"{'a': 0.002, 'e': 0.9279999999999999}",25,0,-27.386975690809802,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
37,False,"{'a': 0.002, 'e': 0.9259999999999999}",25,0,-48.419425133519184,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.002, 'e': 0.9239999999999999}",20,0,-34.43842281824621,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.002, 'e': 0.9219999999999999}",25,0,-61.62147148391981,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.002, 'e': 0.9199999999999999}",35,0,-195.63702358355343,"{0: 20, 1: 3, 2: 8, 3: 2, 4: 2}",0
41,False,"{'a': 0.002, 'e': 0.9179999999999999}",20,0,-94.21347343407757,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
42,False,"{'a': 0.002, 'e': 0.9159999999999999}",25,0,-144.84462079127067,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
43,False,"{'a': 0.002, 'e': 0.9139999999999999}",25,0,-96.31489307343371,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.002, 'e': 0.9119999999999999}",20,0,-52.550498904964684,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.002, 'e': 0.9099999999999999}",25,0,-159.66228242849215,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
46,False,"{'a': 0.002, 'e': 0.9079999999999999}",25,0,-139.45407000373498,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
47,False,"{'a': 0.002, 'e': 0.9059999999999999}",25,0,-106.77028295097654,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
48,False,"{'a': 0.002, 'e': 0.9039999999999999}",20,0,-64.95262122079836,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.9019999999999999}",30,0,-142.63231419452174,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
50,False,"{'a': 0.002, 'e': 0.8999999999999999}",30,0,-240.1692143594544,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 3}",0
51,False,"{'a': 0.002, 'e': 0.8979999999999999}",25,0,-74.35552425038767,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
52,False,"{'a': 0.002, 'e': 0.8959999999999999}",20,13,-14.644980548643712,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.002, 'e': 0.8939999999999999}",30,0,-262.0187703169194,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 5}",0
54,False,"{'a': 0.002, 'e': 0.8919999999999999}",20,6,-30.313454473285237,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.002, 'e': 0.8899999999999999}",25,0,-159.02486317325076,"{0: 14, 1: 6, 2: 1, 3: 1, 4: 3}",0
56,False,"{'a': 0.002, 'e': 0.8879999999999999}",25,1,-157.87584778071036,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 2}",1
57,False,"{'a': 0.002, 'e': 0.8859999999999999}",20,5,-28.896612432587624,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
58,False,"{'a': 0.002, 'e': 0.8839999999999999}",25,0,-177.0886156034345,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
59,False,"{'a': 0.002, 'e': 0.8819999999999999}",20,0,-83.81389720377925,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.8799999999999999}",25,0,-136.53421206849222,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
