trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.10898988802818,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-224.18560024314058,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.5403023058681398}",25,0,-80.3507383030362,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,4,-68.99655553213312,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.4161468365471424}",20,0,-117.51489780090604,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-113.57754937940634,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,0,-88.0376053335993,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,0,-157.43985979169253,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.6536436208636119}",30,0,-135.19931081845556,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.21079579943077972}",30,7,-114.26596626213038,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.2836621854632263}",30,0,-154.84987980294974,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.70866977429126}",30,0,-92.62548312725185,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9601702866503661}",30,0,-186.14478925277456,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-169.58513989938348,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,-183.90441283516066,"{0: 11, 1: 7, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.3466353178350258}",35,0,-205.99692657975922,"{0: 20, 1: 7, 2: 3, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.14550003380861354}",25,0,-64.29402133000997,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,0,-51.47698191292075,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9111302618846769}",20,0,-169.98233923831174,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9971721561963784}",20,0,-82.71794827566099,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-50.70376092796032,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-176.3897949265221,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",35,0,-171.40516561712587,"{0: 22, 1: 2, 2: 8, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-165.52459549634787,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",30,0,-238.5167750954951,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",25,0,-141.58886406745444,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-225.42202549302004,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
8,True,"{'a': 0, 'e': 0}",25,0,-93.92123633959517,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-87.19180816200195,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-207.74106654515586,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
11,True,"{'a': 0, 'e': 0}",30,0,-215.79331179658726,"{0: 13, 1: 7, 2: 6, 3: 1, 4: 3}",0
12,True,"{'a': 0, 'e': 0}",25,0,-155.67551811429334,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",25,0,-210.88632577540596,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
14,True,"{'a': 0, 'e': 0}",25,0,-138.5306992229245,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
15,True,"{'a': 0, 'e': 0}",20,0,-63.57124140359044,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",30,10,-124.54158672094712,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",1
17,True,"{'a': 0, 'e': 0}",25,0,-128.02853086797387,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,True,"{'a': 0, 'e': 0}",20,0,-91.56321249510498,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",20,0,-111.31922637535693,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
20,True,"{'a': 0, 'e': 0}",20,0,-80.24805183099326,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
